Unnamed: 0,pos,title,merchant,price,rating,reviews_count,product
5,6,Apple iPhone 16 Pro,Apple,999.0,4.0,585.0,iPhone
6,7,Apple iPhone 15 Pro,T-Mobile,899.99,4.4,15000.0,iPhone
7,8,Apple iPhone 15,Verizon,20.27,4.6,17000.0,iPhone
8,9,Apple iPhone 11,Amazon.com - Seller,229.99,4.6,105000.0,iPhone
9,10,Apple iPhone 12 64GB Black - Available With Cricket Wireless Plan,Cricket Wireless,199.99,4.5,44000.0,iPhone
10,11,Apple iPhone 16 Pro Max,Apple,1599.0,3.9,938.0,iPhone
11,12,Apple iPhone 15 Pro Max,T-Mobile,1099.99,4.3,15000.0,iPhone
12,13,Restored Apple iPhone 14 Pro,Walmart - BuySPRY,540.16,4.6,13000.0,iPhone
13,14,Apple iPhone 12,Back Market,274.99,4.5,44000.0,iPhone
14,15,Apple iPhone 14,Verizon,17.49,4.6,25000.0,iPhone
15,16,Apple iPhone 15 Plus,Apple,23.03,4.6,5900.0,iPhone
16,17,Apple iPhone SE (3rd generation),T-Mobile,429.99,4.5,16000.0,iPhone
17,18,Apple iPhone SE Unlocked,Walmart,179.0,4.4,15000.0,iPhone
18,19,Apple iPhone 13 Pro Max,Amazon.com,1199.0,4.6,13000.0,iPhone
19,20,Apple iPhone 16 - 128GB - Ultramarine - With Contract and 36 Installment Payments,AT&T,23.06,4.5,253.0,iPhone
20,21,Apple iPhone 14 Plus,Apple,729.0,4.6,11000.0,iPhone
21,22,Apple iPhone XR,Back Market,161.62,4.5,58000.0,iPhone
22,23,Apple iPhone 11 Prepaid Smartphone,Walmart,249.0,4.0,21.0,iPhone
23,24,Apple iPhone 12 Pro,Reebelo USA,351.99,4.5,15000.0,iPhone
24,25,Apple iPhone XS,Amazon.com - Seller,174.0,4.5,19000.0,iPhone
25,26,Apple iPhone 14 in Purple 128GB - with payment plan | by Consumer Cellular,Consumer Cellular,29.0,4.6,25000.0,iPhone
26,27,Apple iPhone 12 mini,Back Market,205.72,4.5,17000.0,iPhone
27,28,Apple iPhone SE,Walmart - UPGRADE SOLUTION INC,72.0,4.5,28000.0,iPhone
28,29,Apple iPhone 16 - Ultramarine - 512GB (with plan),T-Mobile,1129.99,4.5,253.0,iPhone
29,30,Apple iPhone 13 128GB Red,Cellcom,14.73,4.3,4000.0,iPhone
30,31,Apple iPhone 16 - 256 GB - Pink (with Mobile Phone Plan) - Boost Mobile,Boost Mobile,929.99,4.5,253.0,iPhone
31,32,iPhone 13 128GB - Midnight - Unlocked,Back Market,372.39,4.7,56000.0,iPhone
32,33,Apple iPhone 16 - 256GB - Pink - With Contract and 36 Installment Payments,AT&T,25.84,4.2,142.0,iPhone
33,34,Apple iPhone 13 128GB Green Refurbished,Walmart - Kiss Electronics Inc,374.97,3.3,860.0,iPhone
34,35,Apple iPhone 14 Pro Max,Reebelo USA,610.0,4.7,19000.0,iPhone
35,36,Apple iPhone 14 - Purple - 128GB (with 24 monthly payments + plan),T-Mobile,629.99,4.6,25000.0,iPhone
36,37,Apple - iPhone 16 Pro 256GB - Apple Intelligence - Black Titanium (AT&T) - 36 monthly installments,Best Buy,30.56,4.0,585.0,iPhone
37,38,Apple iPhone X,Back Market,182.99,4.4,31000.0,iPhone
38,39,Apple iPhone 12 64GB (PRODUCT)RED Fully Unlocked Renewed,Walmart - Hybrid IT,267.5,3.5,3300.0,iPhone
39,40,Apple iPhone 13 Pro,eBay - west.coast.deals,659.99,4.7,11000.0,iPhone
0,1,Apple MacBook Air M2,Best Buy,749.0,4.8,19000.0,Macbook
1,2,Apple MacBook Pro Core,Amazon.com - Seller,309.0,4.7,28000.0,Macbook
2,3,Apple MacBook Air,Walmart,649.0,4.8,37000.0,Macbook
3,4,Apple MacBook Pro 16 M3,Apple,2499.0,4.8,21000.0,Macbook
4,5,Apple MacBook Pro,Back Market,396.0,4.2,162.0,Macbook
5,6,Apple MacBook Air M3 13,Best Buy,849.0,4.8,3000.0,Macbook
6,7,Apple MacBook Pro Core i5 SSD,eBay - ever_green,415.0,4.7,28000.0,Macbook
7,8,Apple MacBook Air M3 13,Best Buy,849.0,4.8,3000.0,Macbook
8,9,Apple MacBook Pro Core i5 SSD,eBay - ever_green,415.0,4.7,28000.0,Macbook
9,10,"Apple MacBook Pro (16"", Late 2019)",OWC,619.0,4.7,2000.0,Macbook
10,11,Apple MacBook Pro 14 M3,B&H Photo-Video-Audio,1799.0,4.9,4000.0,Macbook
11,12,"Apple MacBook Pro 15"" Retina Display (Refurbished)",Swappa,464.0,4.5,27.0,Macbook
12,13,Apple MacBook Air M3 15,Best Buy,1044.0,4.8,1300.0,Macbook
13,14,"Apple MacBook Air 13"" Core i5",StackSocial,249.97,4.4,5900.0,Macbook
14,15,Apple MacBook Air Core i5 1.6GHz 8GB SSD,Walmart - JVCOM,479.0,4.6,2200.0,Macbook
15,16,Apple MacBook Air Core,Back Market,111.9,4.7,18000.0,Macbook
16,17,Apple 15.4-inch MacBook Pro Core i7 16gb SSD,OWC,379.0,4.8,23000.0,Macbook
17,18,Apple MacBook Air Apple M2,Best Buy,1049.0,4.9,7300.0,Macbook
18,19,Apple MacBook Pro 13-inch 2.3GHz Core i5 (Mid 2017),Mac of All Trades,319.99,4.7,28000.0,Macbook
19,20,Apple MacBook Pro i5,Walmart - JVCOM,269.99,4.7,24000.0,Macbook
20,21,"Apple MacBook Air (13"", Mid 2019)",Back Market,299.59,4.7,2700.0,Macbook
21,22,"Apple MacBook Air (13"", Mid 2017)",PickYourPlum,264.99,4.7,16000.0,Macbook
22,23,Apple 14-Inch MacBook Pro Apple M3 Chip,Best Buy,1299.0,4.8,1700.0,Macbook
23,24,"Apple MacBook 12-inch, Retina - 2017 Gold / 16GB / 512GB",shopsimpletronics.com,749.99,0.0,0.0,Macbook
24,25,"Apple MacBook Pro 15"" Retina Touch Bar Intel Core i7",Reebelo USA,364.55,4.8,23000.0,Macbook
25,26,Apple MacBook Pro M2 chip,Back Market,824.38,4.8,2400.0,Macbook
26,27,Apple MacBook Pro M1,Amazon.com - Seller,1649.0,4.8,1600.0,Macbook
27,28,"Apple 14"" MacBook Pro",University of South Florida Tampa,1849.0,4.9,4000.0,Macbook
28,29,Apple MacBook 12-Inch 1.2GHz 8GB 256GB SSD Gold,DailySteals,264.99,4.7,4500.0,Macbook
29,30,"Apple 13"" MacBook Air (M3, Midnight)",B&H Photo-Video-Audio,1199.0,4.8,3000.0,Macbook
30,31,Apple MacBook Pro Core i7 16gb SSD,Back Market,397.7,4.6,23000.0,Macbook
31,32,"Apple MacBook Pro 13.3"" Core i5 (2017)",Walmart - JVCOM,338.73,3.8,9.0,Macbook
32,33,"Macbook Pro 13.3-inch (Retina, Space Gray, Touch Bar) 2.4Ghz Quad Core i5 (2019) MV962LL/A",GainSaver,589.0,4.8,22000.0,Macbook
33,34,"Apple MacBook Air 13.3"" M1 Chip (Late 2020)",The Refurbished Apple Store,649.99,4.8,37000.0,Macbook
34,35,"Apple 16"" MacBook Pro Laptop M2 Max",Amazon.com - Seller,1869.99,4.7,266.0,Macbook
35,36,MacBook Air (2020) 13.3-inch - Apple M1 8-core and 7-core GPU - 8GB RAM - SSD 128GB,Back Market,471.0,4.8,37000.0,Macbook
36,37,Apple MacBook Air 13-inch M1 Chip with 8-Core CPU (Late 2020),Mac of All Trades,474.99,4.8,12000.0,Macbook
37,38,"Apple Macbook Pro 14"" M2 Pro 1TB with Accessories Bundle - Animal",HSN,2100.0,4.9,4000.0,Macbook
38,39,"Apple MacBook Pro A1706 13"", Touch Bar, 2.9GHz Intel Core i5,16GB 256GB, Retina, Space Gray(Renewed)",Atlas Computers & Electronics,1158.48,4.7,28000.0,Macbook
39,40,Apple MacBook Pro Core 16gb RAM SSD,Walmart - Direct Computer Outlet,699.99,4.6,1000.0,Macbook
40,41,"Apple MacBook Air 13.3"" Core i5 (Early 2020)",Back Market,425.71,4.7,18000.0,Macbook
41,42,Apple MacBook Pro 16-inch M3 Pro Chip (Refurbished),Apple,2119.0,4.8,21000.0,Macbook
42,43,Restored Apple MacBook Pro Laptop M2 Pro chip,Amazon.com - Seller,1649.95,4.8,604.0,Macbook
43,44,Apple MacBook Pro 13-inch,nopCommerce,1800.0,4.4,6600.0,Macbook
44,45,"Apple MacBook Air 13"" Core i5 (2015)",WoodArtSupply,185.0,4.8,845.0,Macbook
45,46,Restored Apple MacBook Air Core i5 4GB 128gb SSD 11.6 inch,Back Market,113.0,3.8,3400.0,Macbook
46,47,"Apple 15"" MacBook Air (M3, Midnight)",B&H Photo-Video-Audio,2099.0,4.8,1300.0,Macbook
0,1,Nintendo Switch Lite,Best Buy,209.99,4.7,5300.0,Nintendo
1,2,Nintendo Switch,Target,299.99,4.5,3400.0,Nintendo
2,3,Nintendo NES System,Walmart - Maries Market,129.95,4.4,1400.0,Nintendo
3,4,Nintendo Switch Console,GameStop,239.99,4.7,7700.0,Nintendo
4,5,Nintendo 2DS XL,Amazon.com - Seller,437.99,4.7,2600.0,Nintendo
5,6,Nintendo Switch OLED,Nintendo,349.99,4.7,40000.0,Nintendo
6,7,Nintendo Switch Fortnite Wildcat Limited Console Set,StockX,900.0,4.6,1200.0,Nintendo
7,8,Nintendo Switch OLED,Nintendo,349.99,4.7,40000.0,Nintendo
8,9,LEGO 71374 Nintendo Entertainment System,LEGO.com,269.99,4.7,1000.0,Nintendo
9,10,"Nintendo NES Classic Edition Entertainment System, White",Walmart - Apex Express,89.99,4.5,3900.0,Nintendo
10,11,Nintendo Switch with Joy-Con Controller,GameStop,239.99,4.7,78000.0,Nintendo
11,12,Nintendo Switch OLED The Legend of Zelda,Amazon.com - Seller,344.99,4.5,2700.0,Nintendo
12,13,Nintendo Switch Fortnite Wildcat Limited Console Set,StockX,900.0,4.6,1200.0,Nintendo
13,14,Nintendo NES Console,DKOldies,164.99,4.6,509.0,Nintendo
14,15,Super Nintendo Entertainment System SNES Classic Edition,Walmart - Apex Express,91.99,2.9,94.0,Nintendo
15,16,Nintendo Wii U Console,GameStop,129.99,4.3,39.0,Nintendo
16,17,Nintendo Switch Animal Crossing New,Amazon.com - Seller,359.0,4.8,6000.0,Nintendo
17,18,Nintendo NES Classic Edition,eBay - hardench,95.0,4.5,3900.0,Nintendo
18,19,Nintendo Switch OLED Model Pokemon Scarlet & Violet Limited Edition,Reebelo USA,269.0,4.8,14000.0,Nintendo
19,20,"Nintendo Entertainment System with Super Mario Bros 1, 2, 3 and New NES 72 Pin Connector Installed",Walmart - RVAClassicGaming,294.95,3.3,9.0,Nintendo
20,21,Nintendo 3DS,GameStop,199.99,4.6,7900.0,Nintendo
21,22,Minecraft Creeper Edition for New Nintendo 2DS LL,Amazon.com - Seller,440.72,4.5,10.0,Nintendo
