name,link,image,sku,model,price,original_price,save,rating,rating_count,is_sold_out,product
"Apple - MacBook Air 13.6"" Laptop - M2 chip Built for Apple Intelligence - 8GB Memory - 512GB SSD - Midnight",https://www.bestbuy.com/site/apple-macbook-air-13-6-laptop-m2-chip-built-for-apple-intelligence-8gb-memory-512gb-ssd-midnight/6509651.p?skuId=6509651,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/d021655e-3e56-4bb6-abc5-48c12361c56b.jpg;maxHeight=200;maxWidth=200;format=webp,6509651.0,MLY43LL/A,949.0,1199.0,20.85%,4.9,2442.0,False,Macbook
"Apple - MacBook Pro 14"" Laptop - M3 chip Built for Apple Intelligence - 8GB Memory - 10-core GPU - 1TB SSD - Space Gray",https://www.bestbuy.com/site/apple-macbook-pro-14-laptop-m3-chip-built-for-apple-intelligence-8gb-memory-10-core-gpu-1tb-ssd-space-gray/6551411.p?skuId=6551411,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6551/6551411_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6551411.0,MTL83LL/A,1499.0,1799.0,16.68%,4.8,145.0,False,Macbook
"Apple - MacBook Pro 16"" Laptop - M3 Max chip Built for Apple Intelligence - 36GB Memory - 30-core GPU - 1TB SSD - Space Black",https://www.bestbuy.com/site/apple-macbook-pro-16-laptop-m3-max-chip-built-for-apple-intelligence-36gb-memory-30-core-gpu-1tb-ssd-space-black/6534635.p?skuId=6534635,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6534/6534635_sd.jpg;maxHeight=122;maxWidth=300;format=webp,6534635.0,MRW33LL/A,2999.0,3499.0,14.29%,4.9,279.0,False,Macbook
Apple - MacBook Air 15-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory - 256GB SSD - Midnight,https://www.bestbuy.com/site/apple-macbook-air-15-inch-laptop-m3-chip-built-for-apple-intelligence-8gb-memory-256gb-ssd-midnight/6565851.p?skuId=6565851,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6565/6565851_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6565851.0,MRYU3LL/A,1044.0,1299.0,19.63%,4.9,480.0,False,Macbook
"Apple - MacBook Pro 16"" Laptop - M3 Pro chip Built for Apple Intelligence - 18GB Memory - 18-core GPU - 512GB SSD - Space Black",https://www.bestbuy.com/site/apple-macbook-pro-16-laptop-m3-pro-chip-built-for-apple-intelligence-18gb-memory-18-core-gpu-512gb-ssd-space-black/6534617.p?skuId=6534617,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6534/6534617_sd.jpg;maxHeight=122;maxWidth=300;format=webp,6534617.0,MRW13LL/A,2499.0,,,4.9,695.0,False,Macbook
Apple - MacBook Air 15-inch Laptop - M3 chip Built for Apple Intelligence - 16GB Memory - 512GB SSD - Midnight,https://www.bestbuy.com/site/apple-macbook-air-15-inch-laptop-m3-chip-built-for-apple-intelligence-16gb-memory-512gb-ssd-midnight/6565857.p?skuId=6565857,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6565/6565857_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6565857.0,MXD43LL/A,1424.0,1699.0,16.19%,4.9,325.0,False,Macbook
Apple - MacBook Pro 14-inch Laptop M3 chip Built for Apple Intelligence - 16GB Memory - 1TB SSD - Space Gray,https://www.bestbuy.com/site/apple-macbook-pro-14-inch-laptop-m3-chip-built-for-apple-intelligence-16gb-memory-1tb-ssd-space-gray/6565897.p?skuId=6565897,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6565/6565897_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6565897.0,MXE03LL/A,1699.0,1999.0,15.01%,4.9,35.0,False,Macbook
"Apple - MacBook Pro 14"" Laptop - M3 Pro chip Built for Apple Intelligence - 18GB Memory - 18-core GPU - 1TB SSD - Space Black",https://www.bestbuy.com/site/apple-macbook-pro-14-laptop-m3-pro-chip-built-for-apple-intelligence-18gb-memory-18-core-gpu-1tb-ssd-space-black/6534624.p?skuId=6534624,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6534/6534624_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6534624.0,MRX43LL/A,2399.0,,,4.8,576.0,False,Macbook
"Apple - MacBook Air 15"" Laptop - M2 chip Built for Apple Intelligence - 8GB Memory - 512GB SSD - Midnight",https://www.bestbuy.com/site/apple-macbook-air-15-laptop-m2-chip-built-for-apple-intelligence-8gb-memory-512gb-ssd-midnight/6534605.p?skuId=6534605,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6534/6534605_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6534605.0,MQKX3LL/A,1249.0,1499.0,16.68%,4.9,1687.0,False,Macbook
Apple - MacBook Air 13-inch Laptop - M3 chip Built for Apple Intelligence - 8GB Memory - 512GB SSD - Midnight,https://www.bestbuy.com/site/apple-macbook-air-13-inch-laptop-m3-chip-built-for-apple-intelligence-8gb-memory-512gb-ssd-midnight/6565838.p?skuId=6565838,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6565/6565838_sd.jpg;maxHeight=121;maxWidth=300;format=webp,6565838.0,MRXW3LL/A,1049.0,1299.0,19.25%,4.9,233.0,False,Macbook
